stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,2.25,0,0,0,0,0,0,0,0,0,0,26.78,0,0.56,0,0,0,2.25,0.85,0,0,0.56,0,0,0.28,0,0,0,0,0
21Day,0.74,0,0,13.32,0,0.37,0,0.37,0,0,0,0.37,0.37,0.37,9.62,3.7,2.96,0,0,0,0.74,0.74,0,0,0,0.37,0,0,0.37,0.37,0,0,0.37
3Month,0,0.42,0.1,20.6,0,0.1,1.04,1.87,0,6.14,1.04,0.1,3.64,0.52,7.59,2.29,1.35,0.1,0.21,0.21,0.21,0,0.52,0,0.1,0.31,0.73,0.21,0,0,0.21,0.1,1.46
22Month,0.14,0.14,0.41,13.66,0.27,0,0.14,0.41,0.55,3.55,0.27,0.14,1.09,0.41,2.19,1.5,0.82,0,0,0,0.14,0,0.14,0.14,0,0.14,1.78,0,0,0,0,0,0.27
