stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0
21Day,2.22,0,0,2.59,0,0.74,0,0,0,0.37,0,0,0,1.11,0,0,0.74,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.31,0.31,16.12,0.1,0,0.42,0,0.42,1.04,0,32.56,1.35,0.21,22.57,0.1,1.46,2.08,0.94,0.21,0,0.52,0,0,0.31,0,0.1,0.83,0.94,0,0.1,0.1,1.25
22Month,0.27,0.82,0.55,3.01,0.14,0,0.41,0.41,0.55,2.87,0.27,27.19,1.64,0.41,21.45,0.14,0.55,2.6,2.46,0,0.82,0,0.14,0,0,0.14,0.14,0.14,1.09,0.27,0,0,0.96
