stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0.85,0.28,0,0.28,0.28
21Day,0,1.11,0.37,0.74,0,0,0,0,0,0.74,0,0,0.74,0,0,0.37,0,0.37,0.37,0,0,0.37,0
3Month,0,0.31,0,0,0.1,0.1,0.42,0.1,0.1,0.1,0.31,0,0,0.1,0,0.1,0.21,0,0,0,0.21,0,0
22Month,0,0,0,0,0,0.27,0.82,0,0,0,0,0.27,0,0,0.14,0,0,0,0,0,0,0,0
