stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0.28,0.28,0.56,0.28,0,0.28,0
21Day,0.74,0,0,0.74,0.37,0,0,0,0
3Month,0,0.1,0.1,0,0,0,0.1,0,0.1
