stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,1,0,0,0,0,0,0,0,4,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,3.66,1.13,0.28,0
21Day,0,0,0,0,0,0,0.37,0,1.11,0,0,0
3Month,0,0,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0.73
22Month,0,0,0,0.14,0,0,0,0,0,0,0,1.09
