stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,1.69,2.25,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,12.12,1.69,0,0,0.28,0,0,0.28,0,0,0
21Day,2.59,0,2.96,0.37,0.74,0,0,0,0,0.37,1.48,0,0,0.37,0,2.96,0,1.48,6.66,0,1.11,0.37,0,0,0,0,0.37,0.37,0
3Month,0,0.1,0.62,0.21,0,0.1,0.1,0,0.62,0.1,0,0.1,0,0.21,0.1,0.1,0,0.1,0.31,0,0.83,0,0,0,0.1,0,0,0,0.1
22Month,0,0.27,0.27,0,0,0,0.41,0.14,1.78,0.14,0,0.41,0,0,0.14,0.27,0.27,0.14,0.27,0,0.68,0,0,0.27,0.82,0,0,0,0
