stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,48,12,0,42,0,0,0,0,0,0,0,1,1,0,0,0,3,2,3,74,0,0,0,20,347,0,0,3,0,0,0,0,1,0,0
72hpf,23.68,4.23,0,8.74,1.41,3.95,0,0,0,0,0,0,0,0,1.69,0,3.95,14.66,0.56,39.74,0.56,0.85,0.28,316.52,76.94,0,0.56,35.51,0.56,0,24.24,0.85,0.56,0,0
21Day,46.62,0.74,2.96,11.47,0.37,2.22,0,0.37,0,0.37,0,0,0.74,0,0.37,0.74,0.37,7.4,1.48,41.44,0,4.07,0,11.1,4.81,1.85,0.37,32.56,4.07,0,4.44,0,0,0,0
3Month,0.1,0.52,3.64,5.3,0,0,0.1,0,1.25,0.52,0.1,0,0.83,0.42,0,3.02,0.42,4.68,1.25,6.87,0,1.46,0.21,0,0,0.73,0,0,0.21,0.52,0,0,0.1,0.21,0.62
22Month,0,0.68,4.24,2.32,0,0,0.27,0,1.23,1.91,1.37,0,2.46,0.14,0,2.19,0,0.68,0.55,5.88,0,1.5,0,0,0,0.68,0,0,0,0.55,0,0,0,0,0.14
