stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,2,2,15,0,0,0,0,0,1,11,1,18,0,0,2,65,0,4,0,0,0,1,0
72hpf,1.13,0,0.85,1.13,0,0,0,0.28,0.28,0.85,1.13,2.25,0,0.28,18.32,10.99,0.28,1.41,0,0,1.97,0.56,0
21Day,1.11,0.37,2.22,1.85,0,0.74,0,0,0,1.11,0.74,2.22,0.37,0,2.59,2.59,0,1.11,1.11,0,0.37,0.37,0
3Month,0,0.1,1.77,0,0.1,0,0.42,0.1,0.1,1.04,0,0.21,0,0,0,0,0.1,0,0,0.1,0.1,0,0.1
22Month,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0
