stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Osteoblast,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0
72hpf,0,0.28,0,0,0,0,0,0.28,0,0
21Day,0,1.11,0,0.37,0.37,0.37,0.37,0,0.37,0.37
3Month,0.1,0.1,0.1,0,0,0,0,0,0,0
