stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,11,2,15,0,1,0,0,4,0,0,0,0,0,5,5,15,0,0,10,1271,1,0,3,0,0,0,0,0,0,0,0
72hpf,3.38,1.69,6.48,1.13,4.51,0,0,0,0,0,0,0,1.41,17.76,1.13,3.95,1.13,0,267.19,72.15,0.28,11.56,6.2,0,0,50.73,0.28,0,1.97,0,0
21Day,2.22,0,7.4,0,1.85,0.74,0.37,0,1.48,0,0.37,1.11,0,7.4,0.74,5.55,0,0.37,90.28,53.65,0,3.7,2.96,4.81,0,19.61,1.11,0.74,0.37,0,1.48
3Month,0,0,3.02,0,0,0,0,0,0.94,0.31,0,0,0,1.56,0.1,0,0.1,0,0.21,0.73,0,0.21,0,0,0.31,0.62,0,0,0,0.1,0
22Month,0,0,0.82,0,0,0,0.41,0,3.42,0.27,0,0.55,0,0.96,0.41,0.82,0,0,0,0.68,0,0.68,0,0,0.55,0.27,0,0,0,0,0
