stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,12,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,1.13,0,2.25,0,0.28,9.3,7.05,0,0,2.25,0,0.28,0.28,0.56,0,0,0
21Day,0,0,0.37,1.11,0.37,0,0,0,0,0,0,2.22,0,0,0,0.74,0.74,0,0.37,1.85,2.59,0,0,0,0.37,0,0,0,0,0,0.37
3Month,0,0.1,0,0.42,0,0.1,0,0.1,0,0.83,0.21,0,0.31,0.21,0.21,0,0.31,0,0,0.1,0.1,0,0,0,0,0.83,0,0.1,0.1,1.46,0
22Month,0,0.55,0,0.68,0,0,0.27,0.55,0.55,4.24,0.14,0.55,0.68,0,0,0.41,0.96,0.27,0,0.27,0,0.14,0.14,0,0.14,0,0,0,0,0,0.14
