stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,9,33,0,149,1,0,0,0,0,0,0,0,0,0,0,1,1,4,102,0,0,1,20,138,3,3,0,0,0,0,0,0,0,0
72hpf,5.07,0.85,0,17.76,2.82,3.66,0,0,0,0,0,0.28,0,0,0,1.41,12.97,1.13,17.76,0,0.85,0,416.85,39.46,0,9.58,0.28,0.28,3.1,1.13,0,0,0,0
21Day,3.33,0.74,0.37,4.07,0.37,2.22,0,0.37,0,0.37,0,1.11,0,1.11,0.37,0,4.07,0.74,3.33,0,0.37,0,108.41,9.99,0.74,3.33,2.59,0,1.48,0.37,0.74,0,0,0
3Month,0,0.1,0.21,1.25,0,0,0,0,0.1,0.1,0,0.94,0.1,0,0.21,0.1,2.39,0,0.94,2.18,0.1,0.1,3.54,0.1,0.31,0,0.1,4.37,0,0,0,0.21,1.98,0
22Month,0,0.14,0,0.55,0,0,0.14,0.14,0,0.41,0.41,3.14,0.14,0.14,0.27,0,0.41,0.14,0.82,0.14,0.14,0,2.05,0,0,0,0,2.46,0.82,0.14,0,0,0,0.27
