stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,1,0,7,0,0,0,0,1,0,0,0,0,0,8,0,22,0,0,0,6,41,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,2.25,0,0,0,0,0,0,0,0,0.28,8.17,0,2.82,0,0,0,12.68,3.95,0,0.28,0,2.54,0,0,0.85,0,0,0
21Day,1.11,0,0,3.7,0,0,0,0,0,0,0,0,0,0.74,4.44,0.37,1.48,0,0.37,0,0.74,0.74,0,0,0,0.74,0.37,0.74,0.37,0,0.37,0
3Month,0,0.31,0.21,6.87,0,0.62,0.52,0,0,1.98,0.52,0.21,0.62,0.52,1.56,1.04,1.04,0.1,0.1,0.21,0,0,0.1,0.1,0,0,0.42,11.44,0,0.42,47.43,0.52
22Month,0,0,0,0.41,0,0.14,0,0.27,0,1.64,0,0,0.14,0,0.14,0,0.14,0.14,0,0.14,0,0,0.14,0.14,1.64,0,0,6.42,0,0,0.41,0
