stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,1.41,0.28,0.28,0,0,0,0,0,0,0,0,0.28,2.25,0.56,2.82,0.28,0,4.51,3.95,0.28,0.28,1.13,0,0.85,0.28,0.28,0,0,0,0
21Day,0.37,0,0.37,8.14,0,2.22,0,1.85,0,0,0,0,3.7,0,0.37,2.59,1.48,2.22,0,1.11,0.74,2.22,0,0,1.48,0,0,0,0.74,0.37,0,0,1.11
3Month,0,0,0,1.56,0,0,0.1,0,1.14,0,0.73,0.83,0.31,0.42,0.1,0.1,1.46,0.21,0,0.21,0,0,0.1,0.1,0.1,1.14,0,0,0,0,0.31,0.62,1.77
22Month,0.14,0.14,0,1.91,0,0,0,0.27,6.01,0.27,3.01,1.78,0.82,0,0,0.41,2.46,0.41,0.14,0.27,0,0,0.14,0,0,0.27,0,0,0,0,0,0,1.5
