stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,2.25,0,0,4.23,1.69,0,0,1.97,0,0,0.28,0,0.28,0.28,0,0,0
21Day,0.37,0,0,3.7,0,0.37,0,0,0,0,0,0,0,0.37,0,0,1.11,0.74,4.44,0,0.37,1.48,0.74,0,0,1.48,0.74,0,0.37,0,0,0,0,0,0
3Month,0.1,0.94,0.1,5.72,0.1,0,0.21,0,0.42,0.73,0,1.87,0.31,0,0.31,0.52,3.12,0.52,3.22,0.31,0.42,0.31,0.1,0.42,0,0.42,0,3.64,0,0,0,0.21,8.74,0.83,0.1
22Month,0,0.41,0,1.5,0,0,0,0.14,0.14,0,0.27,3.28,0,0.27,0.55,0,0.27,0.27,1.37,0,0,0.14,0,0,0.14,0,0.14,0.14,0.27,0.14,0,0,0.68,0,0
