stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.85,0,0
21Day,0.74,1.48,0.37,0.37,0.37,0.37,0.74,0.74,0.37,0.74,0.37
