stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,1.13,0.28,2.82,0,0,0,0,0,0,0,1.41,2.25,0.56,3.38,0,0.28,0.28,0.28,399.94,8.17,0.85,1.13,5.07,0,0,1.97,0.28,0,0.56,0,0
21Day,1.85,0.37,0,7.4,0,4.44,0.37,0.37,0,0.37,0,1.48,0.37,0.37,0.37,0.37,3.7,0,0,0,0.37,186.84,1.48,0.37,1.48,1.48,4.07,0,0.74,1.11,2.22,0.37,0,0
3Month,0,0,0,21.32,0,0,0.1,0,0,1.35,0.42,0,0.94,2.39,0.62,0.21,0.42,0.31,0.21,0,0.42,13.63,0.1,0.42,0.31,0,0.31,0.31,0.62,0,0,0.1,0.1,0.21
22Month,0,0.27,0.27,15.99,0.14,0,0.14,0.55,0.14,3.96,0.27,0,0.82,0.14,0,1.09,0.55,0,0.14,0.14,0.41,13.12,0.14,1.91,1.23,0,0.14,2.32,0.68,0.41,0,0,0,0.14
