stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,6,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,3.1,0,0,0,0,0,0,0,0,0.28,1.97,0,3.1,0,0,0.28,0.28,0.28,0.28,1.13,0,0,0,0,0,0
21Day,0,1.11,0.37,0,0,0,0,0,0.74,0,0,0.74,1.48,0.74,0,0,3.7,0.37,0,0,0,0,0,0,0,0,0.37
3Month,0.31,2.5,0,0,0.21,0.73,2.39,0.31,0,0.52,0.1,1.46,2.81,1.35,0.1,0.1,0.21,0,0.1,0,0,0.1,0.31,0,4.99,0.42,0.42
22Month,0.27,1.64,0,0.14,0,0,6.97,0,0.27,0.41,0,0.27,2.19,0.41,0,0.55,0.14,0,0,0,0,0,0.27,0.14,0.14,0,0
