stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,5.92,0.85,0,6.48,1.69,6.48,0,0,0,0.28,0,2.54,10.43,0.56,28.18,0.28,0.56,0.28,57.5,31,0.85,1.13,14.09,0,6.2,0.56,0,0.56,0
21Day,7.4,1.48,0.37,22.94,0.74,11.84,3.7,0.74,3.33,5.92,2.22,0.37,10.36,4.44,38.85,0,5.55,0,21.46,12.95,0.74,0,8.88,5.92,2.22,1.11,3.7,0.37,3.7
