stage,Endothelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,1,0,0,0,0,0
21Day,0,0,0,0,0,0,0.74,0.37,0,0
3Month,0,0,0.1,0,0,0,0,0,0.1,0
22Month,0.27,0.14,1.09,0.41,0,0.14,0.14,0,0.14,0.14
