stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,20,0,0,0,0,0,0,0,0,1,1,0,18,0,0,0,0,1,10,0,3,0,0,0,0,0,0,0
72hpf,1.13,0.28,4.79,1.13,0.56,0,0,0,0,0,0,0.28,2.82,0,21.14,0,0,0,0.85,6.2,4.79,0.28,12.68,0,0,1.41,0.28,0,0,0
21Day,0.74,0.37,1.48,1.11,0.74,0,0,0,0,0,0.37,0,0,0,18.87,0,0,3.7,0,0.74,2.59,0,1.85,0.37,0.74,2.22,0.37,0,0,0.37
3Month,0,0.31,1.98,0,0,0.21,0.52,1.56,0.42,0,0.42,0.1,1.66,0.31,4.16,0.31,0,0.94,0.1,0.21,0.1,0,0,0.31,1.14,0.83,0,0.1,0.42,0.42
22Month,0,0.55,0.68,0,0,0,0.27,4.24,0.27,0.14,0.27,0,0.14,0.41,1.78,0,0.27,0,0,0,0.14,0,0,0.14,0.82,0.41,0,0,0,0
