stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
72hpf,0,0.28,0,0,0,0,0.28,0.56,3.66,0.85,0,0,0.56,0.28,0
21Day,0,0,0,0,0,0,0,0,0.74,0,0.37,0.37,0,0,0
3Month,0.1,0.31,0,0.1,0,0.1,0,0.21,1.14,0,0,0,0,0,0.1
22Month,0,0,0.14,0.68,0.14,0,0,0,0.14,0,0,0,0,0,0
