stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.56,0.28,0,0,0,12.4,0.56,0,0,0.28,0
21Day,0,0.74,0,0.37,0,5.92,0.37,0.37,0.37,0,0
3Month,0,0,0,0,0,0,0,0.21,0,0,0.1
22Month,0,0,0.27,0,0.14,0,0,0,0,0,0
