stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,2.82,0,0.56,0,0,0,0,0,0
21Day,0.74,0,0,1.11,1.11,0,0.37,0,0,0,0,0,4.44,0,0.74,0,0.74,0,0,0,0,1.85,1.11,0,0,0.37,0,0,0,0,7.03
3Month,0.1,0.1,0,0.73,0,0.21,0.1,0.1,0.62,0,1.56,0.31,0.1,0.73,0.31,0.31,0.83,0.21,0,0.1,0.21,0.1,0,0.1,0,0.31,1.14,0,0.1,0.73,8.01
22Month,0,1.09,0.27,1.78,0,0.41,0.27,0.55,1.5,0.96,18.72,0.55,0.14,3.01,0.27,1.91,1.23,0.14,0.82,0.41,0,0.27,0,0.68,0.14,0.14,0.96,0.55,0.14,0,2.87
