stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,14,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,69,81,0,0,0,49,108,0,0,19,0,0,0,0,0,0,0,0,0
72hpf,1.13,9.86,0,3.1,0.56,1.69,0,0,0,0,1.41,0,0,0,0,0,0,3.1,3.38,61.44,0,0,0.28,9.86,6.48,0,0.56,75.54,0,0,1.97,0,0,0,0,0,0
21Day,3.33,5.92,0.37,12.21,0,4.07,0,1.11,0,0,7.77,0,0,0,7.03,0.37,0.37,1.11,16.65,66.23,0,0,4.81,5.92,5.55,0.37,0.74,42.55,2.96,0,0,0.37,0.74,0.37,1.85,0,1.48
3Month,0.1,8.74,0,6.76,0.1,0,0.52,0.94,0,0.21,24.03,0,2.39,4.16,1.56,1.46,0.1,7.59,15.5,26.73,6.14,0,2.29,0.21,0,0.1,0.31,3.64,0.73,0.62,0,0,0,0,19.35,0.21,4.78
22Month,0.41,8.47,0,2.87,0,0,0.68,0.55,0.27,0.27,76.25,0.96,3.96,4.92,2.73,0.55,0,1.91,32.93,32.66,1.37,0.41,1.5,0.27,0,0.14,0.41,2.87,0.14,0.27,0.27,0,0,0,2.6,0,2.32
