stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,5,5,0,0,0,5,10,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.97,2.82,0,0,0,0,0,0,0,0,0.28,0,0.56,4.23,0,2.82,0,0,0,2.82,2.25,0,0.56,0.28,0,1.41,1.69,0,0,0
21Day,1.85,0.74,0,7.03,3.7,0,0.37,0,0.37,0,0,0,0.74,2.59,0,0,8.88,2.59,3.7,0,0.74,0,1.11,0,0,0.37,1.11,0,0,0,0,0,1.85
3Month,0,0.83,0,8.01,0,0.21,0.21,4.58,7.7,0,0,1.77,9.05,0.1,0.52,0.31,3.02,1.98,1.46,0.42,0.73,0.31,0,0.1,0.31,0.1,0.1,1.04,0,0.1,1.56,9.67,2.81
22Month,0,0.82,0.14,2.19,0,0.27,0,0.96,10.11,0.41,0,1.64,1.78,0.41,0,0,0.41,2.6,1.91,0,0.14,0,0.14,0,0.68,0.14,0,0.14,0.27,0,0.14,0,1.64
