stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,8,1,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.41,12.68,0.56,0,0.28,0,0,0,0.28,0,0.56,3.1,0,1.97,0,0.28,0,0.28,5.64,2.82,0,0,0,1.41,0,0,0.56,0,0,0,0
21Day,0.37,0,0,3.33,4.44,0,0,0,0,0,0,1.11,0.37,0,1.85,0.37,4.44,0,0,0,0,2.22,2.22,0,0,0,1.48,0,1.11,0,0.37,0,0,0.37
3Month,0.1,0,0.1,5.51,4.58,0,0.31,0.62,0,3.43,1.14,0.1,1.04,3.64,1.46,1.04,0.83,0.52,0,0.1,0.73,0.21,0,0.31,0.1,0,0,0.21,13.52,0.21,0,0.21,18.62,0.62
22Month,0.14,0.14,0.27,1.91,0.96,0,0.41,0.55,0.27,8.2,0.27,0.14,2.05,0.27,0.55,0.68,0.68,0.14,0.14,0,0.27,0,0,0.27,0,0.55,0,0,9.29,0.14,0,0,0.27,0.27
