stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0.73,0.31,73.96,0.1,0.62,0.83,0.73,0,7.18,1.56,0,4.99,0.21,176.41,1.66,1.14,0.42,0,0.83,0.52,0.21,0.52,0.21,0.62,1.77,0,0.1,1.04,0.31,0.94
22Month,0.27,0.14,0.27,35.53,0,0.41,0.82,1.37,0.41,10.11,1.5,0.27,4.92,0.14,61.22,2.32,0.96,0,0.41,0,0,0.14,0,0.14,0.14,0,0.14,0,0,0,0.55
