stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0.28,4.51,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0
21Day,1.11,0,0,0.37,1.48,0,0,0,5.55,0,0,5.92,5.55,0,0,0.74,16.65,1.85,0,0,0,0,7.4,0.74,0,0,1.48,0,0,0.37,0,0,1.11
3Month,0.1,0.21,0.1,1.46,0,0,0.1,0.21,23.61,0,2.18,27.36,0.52,0.83,0.21,0.94,17.58,1.25,0,0,0,0.1,0,0,0.31,0,0.31,0.52,0,0,0,0.21,0.94
22Month,0.14,0.27,0,0.68,0,0.14,0,0.14,29.79,0.55,6.97,11.34,0.82,0.27,0,0,17.08,0.55,0.14,0.41,0.14,0,0,0,0.68,0.27,0,0,0.27,0.14,0.27,0,0.41
