stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0,1.11,0,0,0,0,0,0
3Month,0,0.1,0.1,0.1,0.1,2.91,0.1,0.52,0,0.1,0.1,5.51,0,0,0.1,0,0.1,0.1
22Month,0.14,0,0,0,0,0.82,0,0.14,0.14,0.14,0,2.05,0,0,0,0.14,0,0
