stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.51,0.56,0,0.56,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0.85,0.28,0,0,0,0.28,0.28,0,0
21Day,1.11,0,0,0,0,0,0,0,0,0,1.48,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0,0,0.83,0,0,0,0.94,0,0.1,0.1,0.1,0,0,0.1,0.31,0,0,0.1,0,0.1,0,0,0.1,0
22Month,0,0.14,0.14,0.41,0.55,1.23,0.14,7.65,0.27,0.96,0,0.82,1.09,0.14,0,0,0,0,0,0,1.09,0,0,0.14,0.27
