stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,20.86,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,1.41,0,0,0,0,0,0.28,0,0,0
21Day,22.57,0,1.11,1.11,0,0,0.37,0.37,0,0,0,0,0,0,1.85,0,0,0.37,0,1.85,1.11,0,0.74,1.48,1.11,0.37,0,0,0,0.37
3Month,0.83,0,1.77,0,0.21,0.52,0.1,2.39,0.42,0,0.94,0.1,0.21,0.31,0.62,0.21,0,0.31,0.1,0,0,0,0.1,0.42,24.76,0,0,0.1,19.14,0.31
22Month,0.68,0.27,0.68,0,0.14,0.82,0.14,7.79,0.41,0.14,1.23,0,0.14,0.82,0.27,0,0.14,0,0,0.14,0,0.27,0,0,11.48,0,0,0,0.14,0.14
