stage,Epithelial_cell,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
72hpf,0.85,0,0.85,0.28,0.28,0.28,0
22Month,0,0.27,0,0,0,0,1.09
