stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4,0,0,1,0,1,0,1,0,0,0,0,0,9,0,0,0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.13,0,0.28,0,0.85,0,0,0,0.28,0,1.13,0.85,0.28,1.97,0,0,0,0,7.61,5.07,0.56,0,0.56,0,0.28,1.13,0,0,0,0,0
21Day,1.48,0.37,0.74,0,0,0,0,2.22,0,0,0,0.37,0,0,0.74,0,0.37,0,0,0,0,2.22,1.48,0,0,0,0.37,1.85,0.37,0,0,0,0,1.48
3Month,0.31,0.21,30.37,0.31,0.62,0,0.73,2.91,0.1,7.7,7.07,0.42,2.18,1.35,1.46,1.56,1.77,0.52,0.21,0.73,1.35,2.39,0.21,0.73,0.21,0,1.56,44.73,0.31,0,0.21,0.83,110.36,8.53
22Month,0,0.27,12.98,0,0,0,0,4.37,1.78,11.07,0.96,0.14,1.37,0.14,0.27,1.09,1.37,0,0.27,0.14,0.14,0.55,0,1.37,0.14,0,0,9.16,0.82,0.27,0,0,0.14,2.19
