stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0.28,0,0.28,0,0,0,0
21Day,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,8.14,0.37,0,0,0,0,0.37,0,0,0
3Month,0.21,0.1,1.98,0,0.1,0.1,0.31,0,2.39,0.42,0,0.73,0.21,0.1,0.83,0.62,0.21,0,0.31,0.1,0,0,0,0.1,0.42,0,0.1,0.1,0.83
22Month,0.41,0.27,1.5,0,0,0.41,2.32,0.96,14.89,1.23,0.14,2.19,0,0.41,0.96,2.46,0.41,0.41,0.14,0.14,0,0.27,0,0,0.68,0.27,0.41,0,0.55
