stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,1.69,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0.37,0,0,0,0,0,13.32,0,0.37,0,0
3Month,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0.1,0,0,0.1,0,0,0,0.1
22Month,0.27,0.14,0.14,0,0.14,0,0.41,1.37,0,0.14,0.55,0,0.14,0.14,0.55,0,2.46,0.14,0.14
