stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell
24hpf,0,0,0,0,1,0
72hpf,0.28,0,0,0,0,0.85
21Day,0.37,0.37,0.37,0.37,0.37,0.74
