stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,2,20,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,1.41,0.85,1.41,1.13,0,0,0,0,0,0,0,0,0,0,1.13,3.95,0.28,5.92,0,0.28,0.56,0,35.23,13.53,0,0,0,5.64,0,0,1.41,0,0.28,0,0,0
21Day,1.48,0.37,5.92,0,2.59,0,0.37,0,0,0,0.74,0,0.37,0.37,1.48,0.74,0.37,5.92,0,0,0,0,5.18,4.07,0.37,0,0,2.22,0,1.48,0.74,0.37,0,0,0,0.37
3Month,0.21,0.21,5.51,0.21,0,0,0.1,0.94,1.46,0.1,8.22,1.14,0.21,1.46,0.52,1.98,1.14,2.29,0.73,0.1,0.62,0.21,0.62,0.1,0.83,0,0,0.31,0.31,14.46,0.31,0,0.1,1.04,17.27,0.52
22Month,0,1.37,2.6,0,0,0.27,0,1.23,2.87,1.23,33.75,1.64,0.68,1.64,0.14,1.09,2.19,2.19,0,0.55,0.41,0,0.27,0.14,0.82,0.27,0.14,0.27,0.14,1.37,0,0,0,0,0,0.41
