stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Retinal_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,1.97,0,0.28,0.28,0
21Day,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0
3Month,0.1,0.1,0.1,0.1,0.21,0.21,0.1,0.1,0.1,0,0,0,0,0,0.1
