stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_cone_cell
72hpf,0,0,0,0,6.2,0.56,0.28,0,0.28
21Day,0,0,0.37,0,3.33,0,0,0.37,0
3Month,0.1,0.1,0,0.1,0,0,0,0,0
22Month,0,0.41,0,0,0,0,0,0,0
