stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.85,0.85,0.28,0,0,0,0,0,0,0,0.28,1.41,0,0,0,0,0.28,23.68,2.25,0,0.28,0.85,0,0,0.28,0.56,0,0,0,0,0
21Day,0.37,0,5.55,0,0.37,0,0,0.74,0.37,0,0.74,0.37,0.37,0.74,0.37,0.74,0,0,0,4.81,0,0.37,0,1.48,0.74,0,0,0,0.37,0.37,0,0,0.37
3Month,0,0,2.08,0,0,0.1,0.52,0,4.26,0.1,0.1,0,0.31,0.21,0.31,0.52,0.21,0,0.21,0.21,0,0.1,0.1,0,0,0.21,0,0,0,0,0.1,0.21,0
22Month,0,0.14,1.23,0,0,0,0.14,0,7.79,0,0,0.68,0,0,0.14,0.14,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
