stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Retinal_cell
24hpf,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
72hpf,0.56,0,0,0,0.28,0.28,1.41,0.85,0,0,6.2,1.97,0,1.41,0.28
21Day,0.37,0.37,0.37,0,0,0.37,0,2.22,0,0.37,1.48,0.37,0,1.11,0
3Month,0,0,0,0.1,0,0,0,0,0.21,0,0,0,0.1,0,0
22Month,0,0.14,0,0.41,0,0,0,0,0,0,0,0,0,0,0
