stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,1,0,0,3,0,0,0
72hpf,0.28,0,0.28,0,0.56,0,0.85,0,1.41,1.97,0,0.28,0
21Day,0.37,0.37,0.74,0.74,0.37,0.37,2.59,0.37,2.22,1.48,0.37,0.37,0.37
