stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,9,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,2.25,0,1.41,4.79,3.66,0,0.85,0,0,0.28,0.28,0,0,0
21Day,0.37,0,1.85,1.11,0,0.37,0,0,0,0,0,0,0,0.74,0.37,1.11,0.74,1.11,0,0.74,0,0,0,0,0,0,0
3Month,0,0,1.35,0,0.1,0,0,0.31,0.62,0.1,0.1,0.62,0.21,0.83,0.42,0.42,0,0,0,0,0.1,0.31,0,0,0.1,0.62,0.21
22Month,0,0.14,0,0,0,0,0.14,0.41,2.87,0.14,0,0.41,0,0,0.14,0.27,0,0,0.14,0,0,0.14,0,0,0,0,0.14
