stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,0,1,0,0
72hpf,0.28,0,0.28,0,0,0,0,0.28,0.28,0.56
21Day,0,0.37,0,0,0,0.37,0.74,0.37,0.37,0
22Month,0,0,0,0.27,0.14,0,0,0,0,0
