stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0.37,0,0,3.7,0,0,0,0,0,0,0,0,0,0,2.22,0.74,0.37,0,0,0,0,0.74,0,0,0,0,0.37,0,0,0,0
3Month,0,0.1,0,4.78,0,0.1,0.73,0.31,0,1.35,0.73,0,2.81,0.42,1.98,1.46,0.52,0,0.31,0.31,0.1,0,0.1,0,0,0.1,8.84,0.1,0.21,10.4,1.25
22Month,0,0.41,0.68,1.5,0.14,0,1.23,0.68,2.32,8.2,2.05,0.14,6.01,0.27,0.14,0.82,1.09,0.14,0.55,0,0,0,0,0.14,0,0,0.82,0,0,0.14,0.55
