stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0.56,0,0.85,0,0,0,0,0.85,0.56,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,2.22,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0,1.85,0.37,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0.1,0.21,0.31,13.94,0,0,0.42,0.62,0,21.74,0.42,11.44,0.31,4.06,0.21,2.91,0.52,0,0.52,1.14,0.83,0.21,0.62,0.31,0,0.21,0.94,3.95,0.21,0.1,0.31,0.62,0.42
22Month,0,0.27,1.09,6.42,0,0.82,0.96,0.55,0.14,52.88,0.41,7.38,0,0.82,0.27,1.23,0.14,4.78,0.68,0,0,0,0.68,1.23,0.14,0.14,0,1.09,0,0,0,0,0.27
