stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,1,0,0,0,0,1,0,0,12,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,1.13,3.95,0.28,1.13,0,0,3.95,0
21Day,0,0,0,0,0,0,0,0,0.37,0.37,2.96,0.37,0.37,0.37,0,3.7,0
3Month,0,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
22Month,0.14,0.14,0,0.14,0.96,0,0,0.14,0.14,0,0,0.14,0,0,0.14,0,0.14
