stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,13,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.28,0,0.85,0.28,1.41,0,0,0,0,0,0,0,0,0.56,3.1,0.28,2.25,0,0,186.58,10.15,1.41,0.56,0,2.54,0,0,2.54,0,0.28,1.13,0,0,0
21Day,1.11,0.37,0.37,1.85,0.37,1.85,0,0.37,0,0,0,0,0.74,0.37,0,0.37,0,2.59,0,1.11,65.12,2.59,0.74,0.74,0,0.37,1.85,0.37,1.11,0.37,0.74,0.37,0,0,0.37
3Month,0,0.21,0.1,1.56,0.1,0,0.21,0.1,0.42,0,1.35,0.31,0,0.42,0.1,0.73,0.73,0.94,0.21,0.1,3.33,0,2.39,0.21,0,0,0.1,3.02,0,0,0,0,0.1,1.46,0.31
22Month,0,0.41,0,0.82,0,0,0,0.27,0.41,0.27,4.78,0.14,0.27,0.96,0,0.27,0.27,0.68,0.14,0,3.14,0,2.73,0.96,0.14,0,0,0.41,0.96,0.27,0,0,0,0,0.41
