stage,Cardiomyocyte,Epithelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,1,0,0
72hpf,0,0,0.28,0,0,0.85,0.28,0
21Day,1.11,0.37,0,0.37,0,0,0,0.37
3Month,0,0.1,0.1,0,0,0,0,0.31
22Month,0.14,0,0,0,0.14,0,0,0.96
