stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,1.41,0.56,0,0,0,0,0,0,0.28,0,0.28,0,0.28,0.56,0,0.85,0.28,0,0,0
21Day,11.84,0.37,0.74,0,0,0.37,0,0,0,0,4.07,0,0,0.37,0,4.07,0,0.37,0.37,0
3Month,0,0,0,0.1,0.1,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0
22Month,0,0,0,0,1.78,0,0.14,0,0,0.27,0,0,0,0,0.55,0,0,0,0,0.27
