stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0
21Day,0,0,5.55,0.74,0.74,0,0,0,0,0,0.37,0.37,0,0,0,8.88,0,0,0,0.37,1.48,0
3Month,0.31,0.1,1.04,0,0,0.21,0,0.21,0,0.1,0.1,0.1,0.1,0.21,0,6.87,0.1,0.21,0.21,0,0,0.1
22Month,0.14,0,0.96,0,0,0.14,0.14,2.05,0.14,0,0,0,0,0.27,0.41,6.01,0.14,0.96,0.14,0.14,0,0
