stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0,0,1.13,0,0,0.28,0,0,0,0,0,0
21Day,0,0.74,0,0.37,0,0,0,0,0.74,0,0,0,0,0,0,1.11,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0.94,0.73,2.7,0.31,0.21,0.21,0,54.5,0.52,0,2.81,0,0.62,0.1,0.42,0.1,0.1,0.31,0.21,0.21,0,0,0.1,1.56,0.62,0.1,0.1,0.52,0.42
22Month,0,0.27,0.41,2.6,0,0,0.27,2.32,30.47,0,0.14,3.42,0,0.14,0.27,0.27,0.14,0.55,0.41,0,0,0,0.27,0,0,1.37,0.14,0,0,0
