stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,9,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.97,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0,0,0,9.02,3.66,1.97,0,0,0,0.28,0,0,0,0,0
21Day,1.48,0.74,0,13.32,0,0.74,0,0.74,0,0,0,0.74,0,0,0,0,0,0,2.22,0,0,10.73,0,2.59,1.48,1.85,0,0,0,1.11,0.37,0,0,0,0
3Month,0.31,6.55,0.62,10.3,0.1,0,0.73,0,1.04,1.46,0,5.93,3.12,0.21,3.43,0.42,2.08,2.18,3.22,0.62,0.1,8.53,1.04,0.42,0.21,6.66,0.1,1.25,2.5,0.1,0,0.52,137.72,1.77,1.77
22Month,0,13.25,0,1.64,0,0,0.14,0,0.14,0.68,0.96,7.65,0.68,0,0.41,0.27,0.27,0.82,1.37,0,0.14,2.73,0,0,0,6.01,0,0.14,0.27,0.14,0,0,25.83,0,0.27
