stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,28,2,0,33,1,0,0,0,0,0,0,0,4,3,1,39,0,0,0,3,147,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,0,0.56,1.13,0,0.85,0,0,0,2.54,2.25,0,0,1.13,0,0,1.69,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,1.11,0.37,0,0,2.22,0,0,0.37,0,0,0
3Month,0,0.31,1.04,2.81,0,0.73,0,0,1.14,0.1,0.1,3.12,0.52,0.62,0.52,1.14,0,2.6,0.42,0,0,0.31,0.1,0.1,0.31,1.77,0.21,0,2.39,0
22Month,0,0.14,0.55,0.68,0,0.27,0.27,0.27,2.6,0,0,1.37,0,0,0.27,0.55,0.14,0.14,0,0.14,0,0.14,0,0,0,0.27,0,0,0.14,0.14
