stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,2,17,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0.56,0.56,0,0,0,0.56,0,0,0.28,0,0,0.56,0.56,1.13,0,0,0,9.86,4.51,0,0,0.85,0,0,0.56,0,0,0,0
21Day,0.37,1.11,0.37,2.96,6.29,0,4.07,0,0,0.37,0.74,7.03,0.37,0.37,0.74,1.11,3.7,0,0.74,0,7.4,3.7,0,0.37,1.85,0.74,0,0,0.74,0,0,1.11
3Month,0.1,0.52,0.1,2.29,0,0.21,0.42,0.1,23.51,3.64,10.92,2.08,2.7,0.1,0.73,3.95,2.18,0.62,0,0.83,0.31,0,0.1,0.31,0,0.62,1.35,0,0,0.21,0.52,2.39
22Month,0,0.82,0,0.55,0,0.55,0.82,0.14,27.06,3.69,4.78,3.55,0.68,0,0.27,3.01,1.23,0.27,0.27,0,0,0,0,0.27,0.14,0,0.27,0.14,0.14,0,0,1.37
