stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,2.82,0.56,0,0,2.54,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0
3Month,1.56,0,0.62,0,0.31,0.1,0,3.22,0.31,0,0.62,0.1,0.52,0.21,2.18,0.42,0,0.21,0.1,0,0,0,0,0,0.1,2.81,7.39,0.1
22Month,2.32,0.14,0.27,0,0.27,0.41,1.91,19.27,0.55,0.14,1.37,0.14,0,0.55,0.68,0,0.14,0,0,0,0,0.14,0.14,0,0,0.55,0,0
