stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,2,1,33,1,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.69,2.82,0.28,0,0,0,0,0,0,0,0,0,1.13,0,0.28,0,0,0,0.56,3.95,3.66,0,0,0,0,0,0,0,5.07,0,0.28,0,0,0
21Day,0.37,0,0,2.96,4.07,0,0,0,0,0,0,0,0.37,0,1.11,1.11,0,1.11,0,0.37,0,0,3.7,2.59,0,0,0,0.37,0.37,0,0.37,1.11,0.37,0.37,0,0,0
3Month,0.21,0.42,0.62,27.04,2.29,0,0.52,0.52,1.56,0.1,6.55,1.66,0.1,1.66,11.44,1.25,1.87,1.35,0.62,0,0.52,1.77,9.67,0.83,1.25,0.1,0,0.31,1.35,0.1,18.83,0.21,0,0.62,0.94,282.51,0.83
22Month,0,0,0,11.75,0.41,0,0,0,0.82,0.14,2.32,0.14,0,0.27,2.32,0.14,0.14,0.27,0,0,0,0.14,2.19,0,0.55,0.14,0.14,0,0,0,9.57,0.27,0,0.14,0,1.23,0.14
