stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,10,0,0,0,0,0,0,0,0,0,0,12,47,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,8.74,0,0,0,0,0,0.28,0,0,0,3.66,20.29,9.3,0.85,0,0.28,0,1.13,2.54,1.41,0,0,7.61,0,0,0.56,0.28,0,0,0,0
21Day,0.37,0,0.74,64.01,3.33,0,0,1.11,0,1.11,0,2.96,0.74,0.74,60.31,15.17,6.29,0,0,0,1.85,2.59,1.85,0.37,0,8.14,2.22,0.37,0,0.37,2.22,0.37,0,0.37
3Month,0,0.1,0.31,5.1,0,0.1,0.73,4.16,0,31.52,0.42,0,0.73,0.1,2.18,12.48,0.52,0,0.1,0.31,3.85,0,0,0,0,0.1,0.42,1.04,0,0,0,0,0.21,0.42
22Month,0,0,0.68,4.92,0,0.27,0.41,7.11,0.41,94.42,0.14,0.55,1.5,0.27,0.96,33.07,1.91,0.14,1.37,0,0,0.14,0,0,0.14,0.14,0,0.27,0,0.14,0,0,0,0.14
