stage,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,2,0,3,0,0,0,0,0,0,7,0,0,0,0,0
72hpf,0.28,0,0,0,0,0.28,0,0,8.46,0.28,0,0.28,0,0,0
21Day,0.37,0,0,0,0,0,0,0,2.96,0.74,0.37,0,0,0,0
3Month,0.42,0.1,0,0.1,0.21,0,0.1,0.1,0,0,0.21,0,0.31,0.1,2.5
22Month,0,0,0,0.55,0.14,0,0,0,0,0,0,0,0,0,0
