stage,Erythrocyte,Goblet_cell,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell
24hpf,1,0,0,0,0,1,1,0
72hpf,0,0,0,0,0.56,3.38,0,0
21Day,0,0,0,0.37,1.11,3.7,0,0.37
3Month,0,0,0.21,0,0,0,0,0
22Month,0,0.14,0.27,0,0,0,0,0
