stage,Endothelial_cell,Enterocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Spermatocyte
24hpf,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0.56,0,0.28,0,0,1.41,0
21Day,0,0,0,0,0,0,0,0,1.11,0.37,0,0.37,0,1.48,0
3Month,0,0.1,0.21,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0.1
22Month,0,0,0.82,0,0.14,0,0,0.14,0,0,0,0,0.14,0,0
