stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,8.88,0.74,0,0.37,0,0.37,0,0,0,1.48,1.48,0.37,6.29,4.44,0,0,0,0,0,2.96,0.37,0,0,0,0,0,0.37,0,0,1.11
3Month,0.31,0.31,1.66,62.83,0,0.52,0,10.3,1.98,0,25.28,2.6,0.1,44,4.78,19.24,7.8,0.94,0.31,0,3.12,2.6,0.21,0,1.04,0.1,1.25,1.77,0,0.1,0.73,0.83,5.1
22Month,0,0.41,3.28,18.99,0,0,0.41,6.56,2.32,2.05,61.9,1.23,2.05,70.51,0.82,4.51,9.29,2.87,0.14,0.82,3.14,0,0.27,0.14,0.82,0.41,0.14,0.96,0.14,0,0.27,0,3.83
