stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,1,0,5,0,0,1,0,0,0,0,0,0,1,1,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,0.56,1.41,0,20.57,0.56,0,0,0,0,0,0,0.56,0,4.51,25.93,4.51,1.13,0,0,27.9,22.55,0,0.56,0,0,0.28,0.28,0.28,0,0
21Day,0,1.11,0.74,38.11,0.74,0,0,0,0,0,0,3.7,1.11,0.37,38.85,6.29,3.33,0,0,10.36,5.92,0,1.11,1.85,0.37,0.37,0.74,0,0.37,0.37
3Month,0,0,0.52,3.95,0,0,0,0.94,1.35,0,1.14,0,2.18,0.1,1.04,0.52,0,0,0.1,0.21,0.21,0.83,0,0.1,0,0,0,0,0,0
22Month,0,0.55,0.27,1.37,0,0.14,0,0.55,1.37,0.27,2.46,0,1.23,0,0.55,1.37,0,0.14,0,0,0,0.55,0,0,0.14,0,0.14,0,0,0.14
